"V1" "V2" "V3" "V4"
"1" 486 491 0.23375 0.76625
"2" 486 491.191919191919 0.235 0.765
"3" 486 491.383838383838 0.23125 0.76875
"4" 486 491.575757575758 0.22625 0.77375
"5" 486 491.767676767677 0.22375 0.77625
"6" 486 491.959595959596 0.2075 0.7925
"7" 486 492.151515151515 0.1925 0.8075
"8" 486 492.343434343434 0.175 0.825
"9" 486 492.535353535354 0.155 0.845
"10" 486 492.727272727273 0.11 0.89
"11" 486 492.919191919192 0.05 0.95
"12" 486 493.111111111111 0.01 0.99
"13" 486 493.30303030303 0.0075 0.9925
"14" 486 493.494949494949 0.00125 0.99875
"15" 486 493.686868686869 0 1
"16" 486 493.878787878788 0 1
"17" 486 494.070707070707 0 1
"18" 486 494.262626262626 0 1
"19" 486 494.454545454545 0 1
"20" 486 494.646464646465 0 1
"21" 486 494.838383838384 0 1
"22" 486 495.030303030303 0 1
"23" 486 495.222222222222 0 1
"24" 486 495.414141414141 0 1
"25" 486 495.606060606061 0 1
"26" 486 495.79797979798 0 1
"27" 486 495.989898989899 0 1
"28" 486 496.181818181818 0.20375 0.79625
"29" 486 496.373737373737 0.42625 0.57375
"30" 486 496.565656565657 0.625 0.375
"31" 486 496.757575757576 0.76 0.24
"32" 486 496.949494949495 0.86125 0.13875
"33" 486 497.141414141414 0.8875 0.1125
"34" 486 497.333333333333 0.885 0.115
"35" 486 497.525252525253 0.865 0.135
"36" 486 497.717171717172 0.8375 0.1625
"37" 486 497.909090909091 0.80625 0.19375
"38" 486 498.10101010101 0.77125 0.22875
"39" 486 498.292929292929 0.70375 0.29625
"40" 486 498.484848484848 0.5975 0.4025
"41" 486 498.676767676768 0.46625 0.53375
"42" 486 498.868686868687 0.32375 0.67625
"43" 486 499.060606060606 0.1725 0.8275
"44" 486 499.252525252525 0.15125 0.84875
"45" 486 499.444444444444 0.12875 0.87125
"46" 486 499.636363636364 0.0925 0.9075
"47" 486 499.828282828283 0.065 0.935
"48" 486 500.020202020202 0.03125 0.96875
"49" 486 500.212121212121 0.02625 0.97375
"50" 486 500.40404040404 0.0225 0.9775
"51" 486 500.59595959596 0.01875 0.98125
"52" 486 500.787878787879 0.015 0.985
"53" 486 500.979797979798 0.015 0.985
"54" 486 501.171717171717 0.00875 0.99125
"55" 486 501.363636363636 0 1
"56" 486 501.555555555556 0 1
"57" 486 501.747474747475 0 1
"58" 486 501.939393939394 0 1
"59" 486 502.131313131313 0 1
"60" 486 502.323232323232 0 1
"61" 486 502.515151515152 0 1
"62" 486 502.707070707071 0 1
"63" 486 502.89898989899 0 1
"64" 486 503.090909090909 0 1
"65" 486 503.282828282828 0 1
"66" 486 503.474747474747 0 1
"67" 486 503.666666666667 0 1
"68" 486 503.858585858586 0 1
"69" 486 504.050505050505 0 1
"70" 486 504.242424242424 0 1
"71" 486 504.434343434343 0 1
"72" 486 504.626262626263 0 1
"73" 486 504.818181818182 0 1
"74" 486 505.010101010101 0 1
"75" 486 505.20202020202 0 1
"76" 486 505.393939393939 0 1
"77" 486 505.585858585859 0 1
"78" 486 505.777777777778 0 1
"79" 486 505.969696969697 0 1
"80" 486 506.161616161616 0 1
"81" 486 506.353535353535 0 1
"82" 486 506.545454545455 0 1
"83" 486 506.737373737374 0 1
"84" 486 506.929292929293 0 1
"85" 486 507.121212121212 0 1
"86" 486 507.313131313131 0 1
"87" 486 507.505050505051 0 1
"88" 486 507.69696969697 0 1
"89" 486 507.888888888889 0 1
"90" 486 508.080808080808 0 1
"91" 486 508.272727272727 0 1
"92" 486 508.464646464646 0 1
"93" 486 508.656565656566 0 1
"94" 486 508.848484848485 0 1
"95" 486 509.040404040404 0 1
"96" 486 509.232323232323 0 1
"97" 486 509.424242424242 0 1
"98" 486 509.616161616162 0 1
"99" 486 509.808080808081 0 1
"100" 486 510 0 1
"101" 486.292929292929 491 0.22625 0.77375
"102" 486.292929292929 491.191919191919 0.23 0.77
"103" 486.292929292929 491.383838383838 0.23125 0.76875
"104" 486.292929292929 491.575757575758 0.22875 0.77125
"105" 486.292929292929 491.767676767677 0.21875 0.78125
"106" 486.292929292929 491.959595959596 0.205 0.795
