"V1" "V2" "V3" "V4"
"1" 491 491 0 1
"2" 491 491.191919191919 0 1
"3" 491 491.383838383838 0 1
"4" 491 491.575757575758 0 1
"5" 491 491.767676767677 0 1
"6" 491 491.959595959596 0 1
"7" 491 492.151515151515 0 1
"8" 491 492.343434343434 0 1
"9" 491 492.535353535354 0 1
"10" 491 492.727272727273 0 1
"11" 491 492.919191919192 0 1
"12" 491 493.111111111111 0 1
"13" 491 493.30303030303 0 1
"14" 491 493.494949494949 0 1
"15" 491 493.686868686869 0 1
"16" 491 493.878787878788 0 1
"17" 491 494.070707070707 0 1
"18" 491 494.262626262626 0 1
"19" 491 494.454545454545 0 1
"20" 491 494.646464646465 0 1
"21" 491 494.838383838384 0 1
"22" 491 495.030303030303 0 1
"23" 491 495.222222222222 0 1
"24" 491 495.414141414141 0 1
"25" 491 495.606060606061 0 1
"26" 491 495.79797979798 0 1
"27" 491 495.989898989899 0 1
"28" 491 496.181818181818 0 1
"29" 491 496.373737373737 0 1
"30" 491 496.565656565657 0 1
"31" 491 496.757575757576 0 1
"32" 491 496.949494949495 0 1
"33" 491 497.141414141414 0 1
"34" 491 497.333333333333 0 1
"35" 491 497.525252525253 0 1
"36" 491 497.717171717172 0 1
"37" 491 497.909090909091 0 1
"38" 491 498.10101010101 0 1
"39" 491 498.292929292929 0 1
"40" 491 498.484848484848 0 1
"41" 491 498.676767676768 0 1
"42" 491 498.868686868687 0 1
"43" 491 499.060606060606 0 1
"44" 491 499.252525252525 0 1
"45" 491 499.444444444444 0 1
"46" 491 499.636363636364 0 1
"47" 491 499.828282828283 0 1
"48" 491 500.020202020202 0 1
"49" 491 500.212121212121 0 1
"50" 491 500.40404040404 0 1
"51" 491 500.59595959596 0 1
"52" 491 500.787878787879 0 1
"53" 491 500.979797979798 0 1
"54" 491 501.171717171717 0 1
"55" 491 501.363636363636 0 1
"56" 491 501.555555555556 0 1
"57" 491 501.747474747475 0 1
"58" 491 501.939393939394 0 1
"59" 491 502.131313131313 0 1
"60" 491 502.323232323232 0 1
"61" 491 502.515151515152 0 1
"62" 491 502.707070707071 0 1
"63" 491 502.89898989899 0 1
"64" 491 503.090909090909 0 1
"65" 491 503.282828282828 0 1
"66" 491 503.474747474747 0 1
"67" 491 503.666666666667 0 1
"68" 491 503.858585858586 0 1
