"V1" "V2" "V3" "V4"
"1" 476 491 1 0
"2" 476 491.191919191919 1 0
"3" 476 491.383838383838 1 0
"4" 476 491.575757575758 1 0
"5" 476 491.767676767677 1 0
"6" 476 491.959595959596 1 0
"7" 476 492.151515151515 1 0
"8" 476 492.343434343434 1 0
"9" 476 492.535353535354 1 0
"10" 476 492.727272727273 1 0
"11" 476 492.919191919192 1 0
"12" 476 493.111111111111 1 0
"13" 476 493.30303030303 1 0
"14" 476 493.494949494949 1 0
"15" 476 493.686868686869 1 0
"16" 476 493.878787878788 1 0
"17" 476 494.070707070707 1 0
"18" 476 494.262626262626 1 0
"19" 476 494.454545454545 1 0
"20" 476 494.646464646465 1 0
"21" 476 494.838383838384 1 0
"22" 476 495.030303030303 1 0
"23" 476 495.222222222222 1 0
"24" 476 495.414141414141 1 0
"25" 476 495.606060606061 1 0
"26" 476 495.79797979798 1 0
"27" 476 495.989898989899 1 0
"28" 476 496.181818181818 1 0
"29" 476 496.373737373737 1 0
"30" 476 496.565656565657 1 0
"31" 476 496.757575757576 1 0
"32" 476 496.949494949495 1 0
"33" 476 497.141414141414 1 0
"34" 476 497.333333333333 1 0
"35" 476 497.525252525253 1 0
"36" 476 497.717171717172 1 0
"37" 476 497.909090909091 1 0
"38" 476 498.10101010101 0.8575 0.1425
"39" 476 498.292929292929 0.625 0.375
"40" 476 498.484848484848 0.38375 0.61625
"41" 476 498.676767676768 0.23875 0.76125
"42" 476 498.868686868687 0.13875 0.86125
"43" 476 499.060606060606 0.06375 0.93625
"44" 476 499.252525252525 0.0325 0.9675
"45" 476 499.444444444444 0.02 0.98
"46" 476 499.636363636364 0.015 0.985
"47" 476 499.828282828283 0.00625 0.99375
"48" 476 500.020202020202 0.005 0.995
"49" 476 500.212121212121 0.0975 0.9025
"50" 476 500.40404040404 0.22375 0.77625
"51" 476 500.59595959596 0.42 0.58
"52" 476 500.787878787879 0.65875 0.34125
"53" 476 500.979797979798 0.9625 0.0375
"54" 476 501.171717171717 1 0
"55" 476 501.363636363636 1 0
"56" 476 501.555555555556 1 0
"57" 476 501.747474747475 1 0
"58" 476 501.939393939394 1 0
"59" 476 502.131313131313 1 0
"60" 476 502.323232323232 1 0
"61" 476 502.515151515152 1 0
"62" 476 502.707070707071 1 0
"63" 476 502.89898989899 1 0
"64" 476 503.090909090909 1 0
"65" 476 503.282828282828 1 0
"66" 476 503.474747474747 1 0
"67" 476 503.666666666667 1 0
"68" 476 503.858585858586 1 0
"69" 476 504.050505050505 1 0
"70" 476 504.242424242424 1 0
"71" 476 504.434343434343 1 0
"72" 476 504.626262626263 0.99875 0.00125
"73" 476 504.818181818182 0.99875 0.00125
"74" 476 505.010101010101 1 0
"75" 476 505.20202020202 1 0
"76" 476 505.393939393939 1 0
"77" 476 505.585858585859 1 0
"78" 476 505.777777777778 1 0
"79" 476 505.969696969697 1 0
"80" 476 506.161616161616 1 0
"81" 476 506.353535353535 1 0
"82" 476 506.545454545455 1 0
"83" 476 506.737373737374 1 0
"84" 476 506.929292929293 1 0
"85" 476 507.121212121212 1 0
"86" 476 507.313131313131 1 0
"87" 476 507.505050505051 1 0
"88" 476 507.69696969697 1 0
"89" 476 507.888888888889 1 0
"90" 476 508.080808080808 1 0
"91" 476 508.272727272727 1 0
"92" 476 508.464646464646 1 0
"93" 476 508.656565656566 1 0
"94" 476 508.848484848485 1 0
"95" 476 509.040404040404 1 0
"96" 476 509.232323232323 1 0
"97" 476 509.424242424242 1 0
"98" 476 509.616161616162 1 0
"99" 476 509.808080808081 1 0
"100" 476 510 1 0
"101" 476.494949494949 491 1 0
"102" 476.494949494949 491.191919191919 1 0
"103" 476.494949494949 491.383838383838 1 0
"104" 476.494949494949 491.575757575758 1 0
"105" 476.494949494949 491.767676767677 1 0
"106" 476.494949494949 491.959595959596 1 0
"107" 476.494949494949 492.151515151515 1 0
"108" 476.494949494949 492.343434343434 1 0
"109" 476.494949494949 492.535353535354 1 0
"110" 476.494949494949 492.727272727273 1 0
"111" 476.494949494949 492.919191919192 1 0
"112" 476.494949494949 493.111111111111 1 0
"113" 476.494949494949 493.30303030303 1 0
"114" 476.494949494949 493.494949494949 1 0
"115" 476.494949494949 493.686868686869 1 0
"116" 476.494949494949 493.878787878788 1 0
"117" 476.494949494949 494.070707070707 1 0
"118" 476.494949494949 494.262626262626 1 0
"119" 476.494949494949 494.454545454545 1 0
"120" 476.494949494949 494.646464646465 1 0
"121" 476.494949494949 494.838383838384 1 0
"122" 476.494949494949 495.030303030303 1 0
"123" 476.494949494949 495.222222222222 1 0
"124" 476.494949494949 495.414141414141 1 0
"125" 476.494949494949 495.606060606061 1 0
"126" 476.494949494949 495.79797979798 1 0
"127" 476.494949494949 495.989898989899 1 0
"128" 476.494949494949 496.181818181818 1 0
"129" 476.494949494949 496.373737373737 1 0
"130" 476.494949494949 496.565656565657 1 0
"131" 476.494949494949 496.757575757576 1 0
"132" 476.494949494949 496.949494949495 1 0
"133" 476.494949494949 497.141414141414 1 0
"134" 476.494949494949 497.333333333333 1 0
"135" 476.494949494949 497.525252525253 1 0
"136" 476.494949494949 497.717171717172 1 0
"137" 476.494949494949 497.909090909091 1 0
"138" 476.494949494949 498.10101010101 0.9275 0.0725
"139" 476.494949494949 498.292929292929 0.68 0.32
"140" 476.494949494949 498.484848484848 0.39625 0.60375
"141" 476.494949494949 498.676767676768 0.20375 0.79625
"142" 476.494949494949 498.868686868687 0.07875 0.92125
"143" 476.494949494949 499.060606060606 0.0225 0.9775
"144" 476.494949494949 499.252525252525 0.0075 0.9925
"145" 476.494949494949 499.444444444444 0 1
"146" 476.494949494949 499.636363636364 0 1
"147" 476.494949494949 499.828282828283 0 1
"148" 476.494949494949 500.020202020202 0 1
"149" 476.494949494949 500.212121212121 0.0975 0.9025
"150" 476.494949494949 500.40404040404 0.3425 0.6575
"151" 476.494949494949 500.59595959596 0.6875 0.3125
"152" 476.494949494949 500.787878787879 0.9075 0.0925
"153" 476.494949494949 500.979797979798 0.99125 0.00875
"154" 476.494949494949 501.171717171717 1 0
"155" 476.494949494949 501.363636363636 1 0
"156" 476.494949494949 501.555555555556 1 0
"157" 476.494949494949 501.747474747475 1 0
"158" 476.494949494949 501.939393939394 1 0
"159" 476.494949494949 502.131313131313 1 0
"160" 476.494949494949 502.323232323232 1 0
"161" 476.494949494949 502.515151515152 1 0
"162" 476.494949494949 502.707070707071 1 0
"163" 476.494949494949 502.89898989899 1 0
"164" 476.494949494949 503.090909090909 1 0
"165" 476.494949494949 503.282828282828 1 0
"166" 476.494949494949 503.474747474747 1 0
"167" 476.494949494949 503.666666666667 1 0
"168" 476.494949494949 503.858585858586 1 0
"169" 476.494949494949 504.050505050505 1 0
"170" 476.494949494949 504.242424242424 0.99875 0.00125
"171" 476.494949494949 504.434343434343 0.99875 0.00125
"172" 476.494949494949 504.626262626263 0.99875 0.00125
"173" 476.494949494949 504.818181818182 0.99875 0.00125
"174" 476.494949494949 505.010101010101 1 0
"175" 476.494949494949 505.20202020202 1 0
"176" 476.494949494949 505.393939393939 1 0
"177" 476.494949494949 505.585858585859 1 0
"178" 476.494949494949 505.777777777778 1 0
"179" 476.494949494949 505.969696969697 1 0
"180" 476.494949494949 506.161616161616 1 0
"181" 476.494949494949 506.353535353535 1 0
"182" 476.494949494949 506.545454545455 1 0
"183" 476.494949494949 506.737373737374 1 0
"184" 476.494949494949 506.929292929293 1 0
"185" 476.494949494949 507.121212121212 1 0
"186" 476.494949494949 507.313131313131 1 0
"187" 476.494949494949 507.505050505051 1 0
"188" 476.494949494949 507.69696969697 1 0
"189" 476.494949494949 507.888888888889 1 0
"190" 476.494949494949 508.080808080808 1 0
"191" 476.494949494949 508.272727272727 1 0
"192" 476.494949494949 508.464646464646 1 0
"193" 476.494949494949 508.656565656566 1 0
"194" 476.494949494949 508.848484848485 1 0
"195" 476.494949494949 509.040404040404 1 0
"196" 476.494949494949 509.232323232323 1 0
"197" 476.494949494949 509.424242424242 1 0
"198" 476.494949494949 509.616161616162 1 0
"199" 476.494949494949 509.808080808081 1 0
"200" 476.494949494949 510 1 0
"201" 476.989898989899 491 1 0
"202" 476.989898989899 491.191919191919 1 0
"203" 476.989898989899 491.383838383838 1 0
"204" 476.989898989899 491.575757575758 1 0
"205" 476.989898989899 491.767676767677 1 0
"206" 476.989898989899 491.959595959596 1 0
